Date,Name,Year,Letterboxd URI,Rating
2024-10-11,Apartment 7A,2024,https://boxd.it/uock,4
2024-10-11,Serpico,1973,https://boxd.it/1ZjE,3.5
2024-10-13,Rosemary's Baby,1968,https://boxd.it/29zM,5
2024-10-19,The Phantom of Liberty,1974,https://boxd.it/22VG,4
2024-10-20,Belle de Jour,1967,https://boxd.it/29Uq,5
2024-10-20,Night on Earth,1991,https://boxd.it/2ayq,4
2024-10-21,Wonder Woman 1984,2020,https://boxd.it/gBtA,4
2024-10-21,When Evil Lurks,2023,https://boxd.it/rXBe,2.5
2024-10-21,F for Fake,1973,https://boxd.it/VxA,5
2024-10-22,Belly,1998,https://boxd.it/1R5Y,5
2024-10-22,The Substance,2024,https://boxd.it/zanS,4
2024-10-26,The Butterfly Effect,2004,https://boxd.it/27M0,1.5
2024-10-28,Coffee and Cigarettes,2003,https://boxd.it/29nc,5
2024-11-03,Matewan,1987,https://boxd.it/1xXQ,4
2024-11-03,The Gambler,1974,https://boxd.it/R4a,3.5
2024-11-04,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2024-11-04,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2024-11-05,Vanishing Point,1971,https://boxd.it/1SH0,5
2024-11-09,Rashomon,1950,https://boxd.it/2a9K,5
2024-11-16,Used Cars,1980,https://boxd.it/1O1k,4
2024-11-17,Theorem,1968,https://boxd.it/237C,5
2024-11-17,Casa de Farinha,1970,https://boxd.it/jfGS,5
2024-11-17,Pulp Fiction,1994,https://boxd.it/29Pq,4
2024-11-18,I'm Still Here,2024,https://boxd.it/BPEO,5
2024-11-18,Inglourious Basterds,2009,https://boxd.it/1JzG,3
2024-11-21,Lady on the Bus,1978,https://boxd.it/2XWG,4
2024-11-21,Night and Fog,1956,https://boxd.it/29A6,5
2024-11-21,Beast,2021,https://boxd.it/vePo,3
2024-12-04,"Muriel, or the Time of Return",1963,https://boxd.it/tZ2,4
2024-12-07,Frankenstein,1931,https://boxd.it/25Te,3
2024-12-08,The Golem: How He Came Into the World,1920,https://boxd.it/262g,3.5
2024-12-09,The Angel Was Born,1969,https://boxd.it/33DU,3
2024-12-09,Where Is the Friend's House?,1987,https://boxd.it/ELg,5
2024-12-12,M,1931,https://boxd.it/29vq,5
2024-12-12,Falling Leaves,1912,https://boxd.it/4GkO,4
2024-12-12,Smile 2,2024,https://boxd.it/FDA4,2
2024-12-12,A Streetcar Named Desire,1951,https://boxd.it/29Mc,4
2024-12-14,Strike,1925,https://boxd.it/QFk,3.5
