Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-12,Falling Leaves,1912,https://boxd.it/81Tbn9,4,,,2024-12-11
2024-12-14,Strike,1925,https://boxd.it/82O1aN,3.5,,,2024-12-13
2024-12-14,The Driver,1978,https://boxd.it/832cUv,4,,,2024-12-14
2024-12-15,Blood of the Condor,1969,https://boxd.it/83ejHH,5,,,2024-12-14
2024-12-15,Dead for a Dollar,2022,https://boxd.it/83n0Bt,3.5,,,2024-12-14
2024-12-19,Dersu Uzala,1975,https://boxd.it/85Ex2N,5,,,2024-12-18
2024-12-21,Vivre Sa Vie,1962,https://boxd.it/86GhR9,3.5,,,2024-12-20
2024-12-23,The Spirit of the Beehive,1973,https://boxd.it/87TVGl,5,,,2024-12-22
2024-12-24,Juror #2,2024,https://boxd.it/88nbAV,3,Yes,,2024-12-22
2024-12-25,The Manchurian Candidate,1962,https://boxd.it/89jicx,4.5,,,2024-12-24
2024-12-26,Heretic,2024,https://boxd.it/8a2JSP,1.5,,,2024-12-25
2024-12-26,I Saw the TV Glow,2024,https://boxd.it/8ah5hf,1,,,2024-12-25
2024-12-27,The Zone of Interest,2023,https://boxd.it/8b7VUH,3,,,2024-12-26
2024-12-27,Night and Fog,1956,https://boxd.it/8bctqz,5,Yes,,2024-12-26
2024-12-28,Carol,2015,https://boxd.it/8ciumz,5,,,2024-12-28
2025-01-04,A Touch of Sin,2013,https://boxd.it/8ipDyH,4.5,,,2025-01-03
2025-01-04,Phoenix,2014,https://boxd.it/8iXPY1,5,,,2025-01-03
2025-01-06,Nosferatu,2024,https://boxd.it/8kMDyL,2.5,,,2025-01-05
2025-01-06,The Fire Within: A Requiem for Katia and Maurice Krafft,2022,https://boxd.it/8l8iqZ,4,,,2025-01-05
2025-01-06,Challengers,2024,https://boxd.it/8lfXbZ,4,,,2025-01-05
2025-01-09,A German Youth,2015,https://boxd.it/8nEB1L,5,Yes,,2025-01-08
2025-01-11,Ran,1985,https://boxd.it/8pfjV5,5,,,2025-01-10
2025-01-15,Princess Mononoke,1997,https://boxd.it/8tNQXH,4,,,2025-01-14
2025-01-22,In the Mood for Love,2000,https://boxd.it/8zb9Dd,5,,,2025-01-21
2025-01-24,Los Angeles Plays Itself,2003,https://boxd.it/8Ar2HD,5,,,2025-01-23
2025-01-24,"Paris, Texas",1984,https://boxd.it/8ANFcj,5,,,2025-01-23
